LR,KNN,RF,XGB,LGBM_Bal,LGBM_Unbal,Best_Model,Best_CV_F1
0.402422030364779,0.4694511135287696,0.6004508761661207,0.5883661678112213,0.5271360003397343,0.5221899538155849,RF,0.6004508761661207
0.571092215345723,0.47706861143901297,0.6241412279588707,0.6654225665932982,0.6615827925621321,0.6602589784795225,XGB,0.6654225665932982
0.4416732998923785,0.15503834615508966,0.3941367976399032,0.518080177358308,0.5671278438273226,0.5680153242351191,LGBM_Unbal,0.5680153242351191
0.31862236058705723,0.13098418858882843,0.299726749037187,0.4104412028702293,0.4066777554090872,0.3775527263137883,XGB,0.4104412028702293
0.2777556405733576,0.2029340506564583,0.32981457049950463,0.3745931211978112,0.4061703705534351,0.41148419887244836,LGBM_Unbal,0.41148419887244836
0.33542104319046145,0.26113398796325626,0.39005353979462437,0.46254772554759926,0.498853558434043,0.48508098176085507,LGBM_Bal,0.498853558434043
0.27778895851583985,0.09743167968352313,0.051821862348178135,0.25747812471216724,0.33136055252990737,0.3050234487734488,LGBM_Bal,0.33136055252990737
0.3559011244683794,0.12472874368634353,0.2927952981994665,0.4261222949452037,0.5068298840867613,0.5155395361633559,LGBM_Unbal,0.5155395361633559
0.3132901440928248,0.11788634004512684,0.07765204828541135,0.2513776491088594,0.3564107294967978,0.3642710082544519,LGBM_Unbal,0.3642710082544519
0.2378471223655687,0.09043623574004403,0.11285478798187862,0.24468677416403536,0.34669136243372645,0.33554593720472364,LGBM_Bal,0.34669136243372645
0.5275614152890539,0.19264154421812946,0.5210316928454322,0.6546944782077497,0.6715564601317862,0.6642000322818046,LGBM_Bal,0.6715564601317862
0.2677494684871312,0.07631581901244823,0.1465309898242368,0.2972941683714354,0.3930488939445333,0.37709484464251675,LGBM_Bal,0.3930488939445333
