LR,RF,KNN,XGB,LGBM_Bal,LGBM_Unbal,Best_Model,Best_CV_F1
0.40238480982105146,0.6044510938668115,0.4663356896268288,0.5971121709115459,0.5215583102325946,0.5222087703019742,RF,0.6044510938668115
0.5557167277167278,0.634904210960549,0.46818972072703413,0.6498473456368192,0.6667612529657654,0.67792165189915,LGBM_Unbal,0.67792165189915
0.4438833923161134,0.3869358229067733,0.170304457015867,0.5271605932570904,0.5795698760823395,0.5750969871011282,LGBM_Bal,0.5795698760823395
0.3221938279214112,0.3025661662281381,0.12586909907476193,0.39871312604189313,0.4070474332493661,0.39622373361503793,LGBM_Bal,0.4070474332493661
0.2740348717047717,0.3150975419755283,0.1939249074575473,0.3661511815939357,0.40313839007007973,0.40262263530646203,LGBM_Bal,0.40313839007007973
0.32732711732875996,0.3544841967623835,0.24843557526484356,0.4866302838055415,0.49277442544080596,0.47817717359320006,LGBM_Bal,0.49277442544080596
0.26576276583949016,0.0418353576248313,0.09743167968352313,0.19162151447072817,0.33456853662720876,0.2998767352865713,LGBM_Bal,0.33456853662720876
0.35459321826295603,0.2745229593256651,0.11586207968697562,0.40992997738922243,0.5079951381565337,0.5107052945622568,LGBM_Unbal,0.5107052945622568
0.3070373624901851,0.06395033211730125,0.13156555302342826,0.2012677225135512,0.3809836735855445,0.36321804511278194,LGBM_Bal,0.3809836735855445
0.2430047430356887,0.1068788727612257,0.11746053254183335,0.2262217020888247,0.33602436138670316,0.32837450769781595,LGBM_Bal,0.33602436138670316
0.5238655213246564,0.5152124231473321,0.17890995645695762,0.6321458774307365,0.6746083935783974,0.6549889934997903,LGBM_Bal,0.6746083935783974
0.2739187399223082,0.15429460973013837,0.07651117920780842,0.2852469872915333,0.38166036493596744,0.38467070310868434,LGBM_Unbal,0.38467070310868434
